longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote,__source_file,all_plinks,source_canonical
NARCIS,edsnar,edsnar.oai.research.vu.nl.publications.a7766f5e.7d57.4a92.ae29.d96e99a45ab2,"How to assign scarce resources without money: Designing information systems that are efficient, truthful, and (pretty) fair","Matching with preferences has great potential to coordinate the efficient allocation of scarce resources in organizations when monetary transfers are not available and thus can provide a powerful design principle for information systems. Unfortunately, it is well known that it is impossible to combine all three properties of truthfulness, efficiency, and fairness (i.e., envy freeness) in matching with preferences. Established mechanisms are either efficient or envy free, and the efficiency loss in envy-free mechanisms is substantial. We focus on a widespread representative of a matching problem: course assignment where students have preferences for courses and organizers have priorities over students. An important feature in course assignment is that a course has both a maximum capacity and a minimum required quota. This is also a requirement in many other matching applications, such as school choice, hospital-residents matching, or the assignment of workers to jobs. We introduce Extended Seat Prioritized Clinch and Trade with a widened Range of guarantees (RESPCT), a mechanism that respects minimum quotas and is truthful, efficient, and has low levels of envy. The reduction in envy is significant and is due to two remarkably effective heuristics. We follow a design science approach and provide analytical and experimental results based on field data from a large-scale course assignment application. These results have led to a policy change, and the proposed assignment system is now being used to match hundreds of students every semester.",20210601,"Bichler, Martin ; Hammerl, Alexander ; Morrill, Thayer ; Waldherr, Stefan ; Operations Analytics",article,Periodical,2021,True,Information Systems Research,Course assignment ; Design science ; Top trading cycles,GEN,,,10477047,,,,,English,,355.0,335.0,21.0,32.0,2.0,10.1287/isre.2020.0959,,,,https://research.ebsco.com/plink/a4718fb4-c88d-36ed-880f-dd53d514f5cc,,,,,1c3530ac-00ed-4378-9581-f3b2106f8b56.csv,https://research.ebsco.com/plink/a4718fb4-c88d-36ed-880f-dd53d514f5cc|https://research.ebsco.com/plink/13a75859-281d-3e41-a62c-393c66903b3a|https://research.ebsco.com/plink/92a843d5-ce1e-39b7-82e8-fa9cc9f6fb7c|https://research.ebsco.com/plink/181cdeb0-e8e0-30c4-aafd-5e75e57bdddb|https://research.ebsco.com/plink/b75adc0e-94a3-33b4-9c17-b8b0bde596aa,Information Systems Research
OpenAIRE,edsair,edsair.doi.dedup.....01b9b65455a1a972876a08f445aad706,The ITEM Ontology: A Tool to Elucidate the Anatomy of Psychometric Indicators,"Article Title: “The ITEM Ontology: A Tool to Elucidate the Anatomy of Psychometric Indicators” Authors: Kai R. Larsen, University of Colorado Boulder Roland M. Mueller, Berlin School of Economics and Law Dario Bonaretti, NEOMA Business School Diana Fischer-Preßler, University of Applied Sciences Frankfurt James (Jim) Burleson, California Polytechnic State University Nimisha Singh, Bennett University, India Jeffrey Parsons, Memorial University of Newfoundland Jean-Charles Pillet, Toulouse Business School Lan Sang, University of Colorado Boulder Zhu (Drew) Zhang, University of Rhode Island Problem definition: For decades, scientists have treated the survey item as the atomic unit of psychological measurement, an indivisible entity to be validated primarily through statistics. But what if we have been looking at the wrong level of analysis? Despite sophisticated modeling techniques, even well-validated instruments often contain items that are vague, double-barreled, or semantically misaligned with their intended constructs. These flaws remain undetected because current methods ignore the semantic anatomy of items. There is no shared language for decomposing indicators into the elements that carry meaning. Relevance: We show that psychometric measurement cannot be understood at the item or construct level and, for the first time, demonstrate that problems such as double-barreled items, restriction of range, and double negation can now be operationally defined and automatically detected. We argue that without tools like the ITEM Ontology, psychological measurement will never be precise enough to match the precision required for tasks such as medication optimization, leadership evaluation, technology impact assessment, and political polling. Theoretical foundations: This paper advances a new theory of survey indicator design by proposing that indicators can—and should—be deconstructed into meaningful components such as objects, actions, attributes, qualifiers, and response formats. This component-level analysis reveals structural and semantic flaws that traditional psychometric techniques often miss. Although grounded in linguistic and cognitive theory, our framework also draws on principles from established ontologies, particularly DOLCE, to ensure conceptual rigor and consistency. By making the internal anatomy of indicators explicit, the approach offers a foundational shift in how we understand, evaluate, and improve survey-based measurement. Methodology: We used design science methodologies to develop, refine, and test the ontology. Results: In addition to the ITEM ontology, we also provide a website ( http://www.itemontology.org/ ) that enables researchers to code indicators within the ontology, along with the ITEMIZER tool, which highlights potential wording issues and construct validity concerns associated with coded indicators. Contributions: This paper enables researchers and survey writers to understand the underlying components and their relationships within and across survey indicators. With the ITEM ontology, not only can we enhance the quality of future surveys, but we also provide a language to discuss how indicators are written and how they can be improved. We demonstrate the value of the ITEM Ontology by presenting two use cases for evaluating item quality and validating content. Keywords: ontology, psychometrics, indicator evaluation, validity, scale development Problem definition: What is your research problem/question in simple terms? Relevance: Why is this problem relevant for research and/or practice? Theoretical foundations: What theory (theories) underlie this work (if applicable)? Methodology: What is the research approach used (if applicable)? Anything innovative? Results: What are the key findings that readers may find interesting or revelatory? Contributions: What is novel/impactful about the knowledge offered by this paper for scholars, practitioners, and policymakers? Short quote, video, or interview (optional): Send us anything additional that you would like to include in the social media post.",20250813,Kai R. Larsen ; Roland M. Mueller ; Dario Bonaretti ; Diana Fischer-Preßler ; James (Jim) Burleson ; Nimisha Singh ; Jeffrey Parsons ; Jean-Charles Pillet ; Lan Sang ; Zhu (Drew) Zhang,Article,Academic Journal,20250813,True,Information Systems Research,Article,GEN,,,15265536 ; 10477047,,,,,English,Institute for Operations Research and the Management Sciences (INFORMS),,,,,,10.1287/isre.2023.0257,,,,https://research.ebsco.com/plink/219e3da2-05a8-31db-998b-26495c239581,,,,,1c3530ac-00ed-4378-9581-f3b2106f8b56.csv,https://research.ebsco.com/plink/219e3da2-05a8-31db-998b-26495c239581,Information Systems Research
OpenAIRE,edsair,edsair.doi.dedup.....e41bd1f1bef592b93edffacb065d4828,FairPlay: Detecting and Deterring Online Customer Misbehavior,"This study examines how firms can detect and manage customer misbehavior in online brand communities. We first develop a data science approach to detect customer misbehavior on social media and devise intervention strategies to deter it. Our design science approach achieves superior performance, improving detection by 7%–9% compared with traditional methods. We then implement two types of intervention policies based on injunctive (i.e., a punishment policy) and descriptive norms (i.e., a common identity policy) to restrain customer misbehavior. The results of field experiments indicate that punishment considerably reduces customer misbehavior in the short term, but this effect decays over time, whereas common identity has a smaller but more persistent effect on misbehavior reduction. In addition, punishing dysfunctional customers decreases their purchase frequency, whereas imposing a common identity increases it. Our results also show that combining the two policies effectively alleviates the detrimental effect of punishment, especially in the long run.",20211201,Ji Wu 0004 ; Zhiqiang (Eric) Zheng ; J. Leon Zhao,Article,Academic Journal,2021,True,Information Systems Research,0502 economics and business ; 05 social sciences,GEN,,,15265536 ; 10477047,,,,,English,Institute for Operations Research and the Management Sciences (INFORMS),1346.0,1323.0,24.0,32.0,,10.1287/isre.2021.1035,,,,https://research.ebsco.com/plink/131fa503-1908-3f27-b6fe-659bae050495,,,,,1c3530ac-00ed-4378-9581-f3b2106f8b56.csv,https://research.ebsco.com/plink/131fa503-1908-3f27-b6fe-659bae050495|https://research.ebsco.com/plink/562101e8-bc2e-3eac-af5c-222622e93acd|https://research.ebsco.com/plink/720d9b9f-da91-3def-9d65-21017051c6b5|https://research.ebsco.com/plink/a9774378-4d25-388a-86eb-c102dd6db087|https://research.ebsco.com/plink/01082b6e-79fe-3607-91ff-6202dd191593,Information Systems Research
OpenAIRE,edsair,edsair.doi.dedup.....884c93ed6d717dff3c3fc965567adecf,Invited Commentary—Reflections on ICT-enabled Bright Society Research,"Since the advent of the AIS Grand Vision Project of ICT-enabled Bright Society (in short, Bright ICT), there has been significant excitement as well as confusion about the concept. To resolve ambiguities about the types of research that are consistent with this vision, the notions of Restorative Bright ICT Research and Enriching Bright ICT Research are defined. In addition, we propose three perspectives that can differentiate Bright ICT research from traditional research approaches to create a disruptive impact on society. To address societal problems that are often global in scope, Bright ICT research recommends taking a holistic design of future society encompassing technologies and policies as well as business models driven by visionary principles. This paradigm can be an extension of design science for the scope of a Macro Information Society.",20160301,Jae Kyu Lee,Article,Academic Journal,2016,True,Information Systems Research,"9. Industry and infrastructure ; 0502 economics and business ; 05 social sciences ; 0202 electrical engineering, electronic engineering, information engineering ; 02 engineering and technology",GEN,,,15265536 ; 10477047,,,,,English,Institute for Operations Research and the Management Sciences (INFORMS),5.0,1.0,5.0,27.0,,10.1287/isre.2016.0627,,,,https://research.ebsco.com/plink/9252b648-2a28-3b18-8676-22e6fbb511f0,,,,,1c3530ac-00ed-4378-9581-f3b2106f8b56.csv,https://research.ebsco.com/plink/9252b648-2a28-3b18-8676-22e6fbb511f0|https://research.ebsco.com/plink/92a44161-23fa-30eb-a9d3-fc509e2cdc82|https://research.ebsco.com/plink/1325b2e2-0348-39b7-b497-438db6b012c0|https://research.ebsco.com/plink/34158619-87d3-3a96-95a1-c0c931ebdbba|https://research.ebsco.com/plink/180977c8-38f3-3fec-8c48-2399dc6b4498|https://research.ebsco.com/plink/509cc490-1d86-3a70-b5e6-27edf40ef104,Information Systems Research
OpenAIRE,edsair,edsair.doi.dedup.....15be04816f8badf11b5abce7aebd41e5,Research Commentary—NeuroIS: The Potential of Cognitive Neuroscience for Information Systems Research,"This paper introduces the idea of drawing upon the cognitive neuroscience literature to inform IS research (herein termed “NeuroIS”). Recent advances in cognitive neuroscience are uncovering the neural bases of cognitive, emotional, and social processes, and they offer new insights into the complex interplay between IT and information processing, decision making, and behavior among people, organizations, and markets.The paper reviews the emerging cognitive neuroscience literature to propose a set of seven opportunities that IS researchers can use to inform IS phenomena, namely (1) localizing the neural correlates of IS constructs, (2) capturing hidden mental processes, (3) complementing existing sources of IS data with brain data, (4) identifying antecedents of IS constructs, (5) testing consequences of IS constructs, (6) inferring the temporal ordering among IS constructs, and (7) challenging assumptions and enhancing IS theories.The paper proposes a framework for exploring the potential of cognitive neuroscience for IS research and offers examples of potentially fertile intersections of cognitive neuroscience and IS research in the domains of design science and human-computer interaction. This is followed by an example NeuroIS study in the context of e-commerce adoption using fMRI, which spawns interesting new insights. The challenges of using functional neuroimaging tools are also discussed. The paper concludes that there is considerable potential for using cognitive neuroscience theories and functional brain imaging tools in IS research to enhance IS theories.",20111201,Angelika Dimoka ; Paul A. Pavlou ; Fred D. Davis,Article,Academic Journal,2011,True,Information Systems Research,"0502 economics and business ; 05 social sciences ; 0202 electrical engineering, electronic engineering, information engineering ; 02 engineering and technology ; 3. Good health",GEN,,,15265536 ; 10477047,,,,,English,Institute for Operations Research and the Management Sciences (INFORMS),702.0,687.0,16.0,22.0,,10.1287/isre.1100.0284,,,,https://research.ebsco.com/plink/4cf290b3-18ab-30a4-a025-af2fccf7a123,,,,,1c3530ac-00ed-4378-9581-f3b2106f8b56.csv,https://research.ebsco.com/plink/4cf290b3-18ab-30a4-a025-af2fccf7a123|https://research.ebsco.com/plink/48d732db-02d1-3a32-a231-e808bbfba27f|https://research.ebsco.com/plink/981f428f-f718-3ee6-94a4-8b7a3ffdfc53|https://research.ebsco.com/plink/66c49b30-5d65-393e-9df0-fb7bee38ebe1|https://research.ebsco.com/plink/9ad3ab17-cfd2-3cb8-94c9-0411081f44e3,Information Systems Research
Business Abstracts with Full Text (H.W. Wilson),bft,189744262,VALIDITY IN DESIGN SCIENCE.,"Researchers must ensure that the claims about the knowledge produced by their work are valid. However, validity is neither well-understood nor consistently established in design science, which involves the development and evaluation of artifacts (models, methods, instantiations, and theories) to solve problems. As a result, it is challenging to demonstrate and communicate the validity of knowledge claims about artifacts. This paper defines validity in design science and derives a “design science validity framework” and a process model for applying it. The framework comprises three high-level claim and validity types—criterion, causal, and context—as well as validity subtypes. The framework guides researchers in integrating validity considerations into projects employing design science and contributes to the growing body of research on design science methodology. It also provides a systematic way to articulate and validate the knowledge claims of design science projects. We apply the framework to examples from existing research and then use it to demonstrate the validity of knowledge claims about the framework itself. Keywords: Design science, design science research (DSR), design science validity framework, knowledge claim, research validity, criterion validity, causal validity, context validity, characteristic validity, efficacy validity, external validity, ecological validity, evaluation, validation",20251201,"Larsen, Kai R. ; Lukyanenko, Roman ; C. Storey, Veda ; Parsons, Jeffrey ; VanderMeer, Debra ; Hovorka, Dirk S.",Article,Academic Journal,Dec2025,True,MIS Quarterly,Design science ; Research personnel ; Test validity ; Theory of knowledge,JOUR,,,02767783,,,,,English,,1294,1267,28.0,49.0,4,10.25300/misq/2024/18064,,MIS,,https://research.ebsco.com/plink/445e1794-b0b8-3637-b80e-9626393b8b99,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/445e1794-b0b8-3637-b80e-9626393b8b99|https://research.ebsco.com/plink/730b6ef5-0618-3b65-a8ac-6100346b91cd|https://research.ebsco.com/plink/0a8d8a34-ec0a-3b37-b526-0952453e3a23,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,177591038,DEALING WITH COMPLEXITY IN DESIGN SCIENCE RESEARCH: A METHODOLOGY USING DESIGN ECHELONS.,"Design science research (DSR) aims to generate knowledge about innovative solutions to real-world problems. Consequently, DSR needs to deal with the complexity related to problem and solution spaces involving sociotechnical phenomena that people perceive differently and are subject to constant change. This complexity poses challenges to sequential, process-based approaches—specifically, the existing DSR methodology. We designed a DSR methodology that extends existing approaches by adding a complementary organizing logic to address complexity. Based on the theory of hierarchical, multilevel systems, we suggest organizing DSR based on the concept of ""echelons""—meaning decomposing DSR projects into smaller logically coherent self-contained parts—and suggest a set of five design echelons that imply a hierarchical organizing logic for DSR projects. The echeloned DSR (eDSR) methodology was developed in five iterations, involving seven design and evaluation episodes.",20240601,"Tuunanen, Tuure ; Winter, Robert ; vom Brocke, Jan",Article,Academic Journal,Jun2024,True,MIS Quarterly,Design science ; Research ; Systems theory ; Research methodology ; Experimental design,JOUR,,,02767783,,,,,English,,458,427,32.0,48.0,2,10.25300/MISQ/2023/16700,,MIS,,https://research.ebsco.com/plink/673fed98-df71-3200-af46-7b964542474b,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/673fed98-df71-3200-af46-7b964542474b|https://research.ebsco.com/plink/878731bb-9a58-3057-9919-113ef8e27d3a|https://research.ebsco.com/plink/84828087-3461-33d0-b7c5-06ce3991572d|https://research.ebsco.com/plink/4fadab16-4639-3ebe-bf90-6ec8ef2c4ebf|https://research.ebsco.com/plink/9a455fb2-7b24-34fd-b70f-b34ff15cee57,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,181215332,DESIGNING DIGITAL PLATFORMS FOR SOCIAL JUSTICE: EMPOWERING END USERS THROUGH THE DATASWYFT PLATFORM.,"Digital platforms have radically transformed how we work, shop, and socialize. Despite their numerous benefits, they may also threaten social justice due to unforeseen consequences of specific design choices, preventing end users from participating equitably in the digital economy. As platform owners compete by leveraging personal data, it remains unclear how digital platforms can be designed to empower end users to control, legally own, and benefit from their data in a privacy-preserving way. Integrating design science research with heuristic theorizing, this study proposes design theory for a end user-centric digital platforms. We derive design theory components from over nine years of data regarding the Dataswyft platform, including five meta-requirements and eight design principles. They reveal how digital platforms can be designed for social justice by empowering end users, both technically and legally, to protect and control their data through a containerized microservice platform infrastructure. This platform design includes multiple data protection layers, end user-driven data collection, reconfiguration, and exchange functionalities, safeguarding mechanisms, and semi-centralized ecosystem governance structures. By evaluating an expository instantiation of the proposed design principles, we demonstrate the applicability and utility of our design theory, paving the way for data self-sovereignty and social sustainability.",20241201,"Danatzis, Ilias ; Chandler, Jennifer D. ; Akaka, Melissa A. ; Ng, Irene C. L.",Article,Academic Journal,Dec2024,True,MIS Quarterly,Data protection ; Design science ; Social justice ; Digital technology ; Technology & society ; End users (Information technology) ; Self-efficacy ; Social sustainability,JOUR,,,02767783,,,,,English,,1802,1771,32.0,48.0,4,10.25300/misq/2024/18334,,MIS,,https://research.ebsco.com/plink/9111700d-be41-3b72-ba9a-2f449650857c,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/9111700d-be41-3b72-ba9a-2f449650857c|https://research.ebsco.com/plink/4018f4c6-78d5-3092-84b2-5525b249a59e|https://research.ebsco.com/plink/91c024a4-6793-3153-b021-7e2deb0b2111|https://research.ebsco.com/plink/3b808574-9b58-323a-ad88-610628f105bd|https://research.ebsco.com/plink/44d8f7a1-3ae4-3a7d-b3cc-9ce346c6b145,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,160548176,DISCOVERING EMERGING THREATS IN THE HACKER COMMUNITY: A NONPARAMETRIC EMERGING TOPIC DETECTION FRAMEWORK.,"The prevalence and rapid growth of cybercrime are largely attributed to hacker communities on the dark web, where cybercriminals extensively exchange hacking resources, share hacking knowledge, and organize cyberattacks. Such streams of hacker-generated content constitute an invaluable data source for developing threat intelligence that can inform organizations of cybersecurity risks and facilitate proactive cyber defense. Drawing upon the design science paradigm, we propose a novel nonparametric emerging topic detection (NPETD) framework for detecting emerging topics in streams of hackergenerated content. Our framework extends the state-of-the-art nonparametric topic model to inductively model topics without having to specify the number of topics a priori. Moreover, our framework features an efficient algorithm to jointly infer topics and detect topic emergence. We conducted experiments to rigorously evaluate the effectiveness and efficiency of our framework in comparison with the state-of-theart baseline methods. Our framework outperformed the baseline methods in detecting the listings of emerging threats in darknet marketplaces on recall, F-measure, topic coherence, and processor time. The practical utility of our framework is further demonstrated in a major hacker forum, where we identified several notable emerging topics with important implications for victim companies and law enforcement. The proposed framework contributes to cybersecurity, topic detection and tracking, and design science.",20221201,Weifeng Li ; Hsinchun Chen,Article,Academic Journal,Dec2022,True,MIS Quarterly,Computer hackers ; Cyberterrorism ; Design science ; Computer hacking ; Wired Telecommunications Carriers ; Internet Publishing and Broadcasting and Web Search Portals ; Threats ; Communities ; Internet security ; Gibbs sampling,JOUR,,,02767783,,,,,English,,2350,2337,14.0,46.0,4,10.25300/MISQ/2022/15642,,MIS,,https://research.ebsco.com/plink/bb1e7a91-10ba-3a07-bd0a-77f89ddbc581,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/bb1e7a91-10ba-3a07-bd0a-77f89ddbc581|https://research.ebsco.com/plink/aff9ffa9-4cf3-3358-90a6-50229156c21a|https://research.ebsco.com/plink/a7e71b6d-def0-3e54-9ed5-563e62877a25|https://research.ebsco.com/plink/7808aaf4-1fcf-33c4-805b-5fb009bf3915,MIS Quarterly
Business Abstracts with Full Text (H.W. Wilson),bft,157194646,LINKING EXPLOITS FROM THE DARK WEB TO KNOWN VULNERABILITIES FOR PROACTIVE CYBER THREAT INTELLIGENCE: AN ATTENTION-BASED DEEP STRUCTURED SEMANTIC MODEL.,"Black hat hackers use malicious exploits to circumvent security controls and take advantage of system vulnerabilities worldwide, costing the global economy over $450 billion annually. While many organizations are increasingly turning to cyber threat intelligence (CTI) to help prioritize their vulnerabilities, extant CTI processes are often criticized as being reactive to known exploits. One promising data source that can help develop proactive CTI is the vast and ever-evolving Dark Web. In this study, we adopted the computational design science paradigm to design a novel deep learning (DL)- based exploit-vulnerability attention deep structured semantic model (EVA-DSSM) that includes bidirectional processing and attention mechanisms to automatically link exploits from the Dark Web to vulnerabilities. We also devised a novel device vulnerability severity metric (DVSM) that incorporates the exploit post date and vulnerability severity to help cybersecurity professionals with their device prioritization and risk management efforts. We rigorously evaluated the EVA-DSSM against state-of-theart non-DL and DL-based methods for short text matching on 52,590 exploit-vulnerability linkages across four testbeds: web application, remote, local, and denial of service. Results of these evaluations indicate that the proposed EVA-DSSM achieves precision at 1 scores 20% - 41% higher than non-DL approaches and 4% - 10% higher than DL-based approaches. We demonstrated the EVA-DSSM's and DVSM's practical utility with two CTI case studies: openly accessible systems in the top eight U.S. hospitals and over 20,000 Supervisory Control and Data Acquisition (SCADA) systems worldwide. A complementary user evaluation of the case study results indicated that 45 cybersecurity professionals found the EVADSSM and DVSM results more useful for exploit-vulnerability linking and risk prioritization activities than those produced by prevailing approaches. Given the rising cost of cyberattacks, the EVA-DSSM and DVSM have important implications for analysts in security operations centers, incident response teams, and cybersecurity vendors.",20220601,"Samtani, Sagar ; Yidong Chai ; Hsinchun Chen",Article,Academic Journal,Jun2022,True,MIS Quarterly,Computer hackers ; Design science ; Wired Telecommunications Carriers ; Internet Publishing and Broadcasting and Web Search Portals ; Darknets (File sharing) ; Internet security ; Virtual communities,JOUR,,,02767783,,,,,English,,946,911,36.0,46.0,2,10.25300/MISQ/2022/15392,,MIS,,https://research.ebsco.com/plink/0e8c7fd2-2460-3aa8-915d-88078354a2b0,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/0e8c7fd2-2460-3aa8-915d-88078354a2b0|https://research.ebsco.com/plink/f34c0820-e2ad-3405-9f24-ff7185d371e4|https://research.ebsco.com/plink/9965f145-2f4b-36a0-a742-2650df64922c|https://research.ebsco.com/plink/978fbfc8-00ae-3c4e-b139-7a895fd1a69d,MIS Quarterly
